"Name","Datum","IK_Institutionskennzeichen","Standortnummer","Standortnummer_alt","Adresse","Strasse","Hausnummer","Postleitzahl","Ort","URL_Zugang","Traegername","Traegerart","POC_Vorname","POC_Nachname","POC_Funktion_Arbeitsschwerpunkt","POC_Telefon_Vorwahl","POC_Telefon_Rufnummer","POC_Telefon_Durchwahl","POC_Fax_Vorwahl","POC_Fax_Rufnummer","POC_Fax_Durchwahl","POC_Email","year"
"Diakonissenkrankenhaus Flensburg","2015-11-13","260100023","99",NA,"Knuthstr., 1, 24939, Flensburg","Knuthstr.","1","24939","Flensburg","https://www.diako-krankenhaus.de/","Ev.-Luth. Diakonissenanstalt zu Flensburg","freigemeinnützig","Stephan","Jatzkowski","Risiko- und Qualitätsmanager","0461","812","2127","0461","812","2129","jatzkowskist@diako.de",2014
"Diakonissenkrankenhaus Flensburg","2015-11-23","260100023","99",NA,"Knuthstr., 1, 24939, Flensburg","Knuthstr.","1","24939","Flensburg","http://www.diako.de","Ev.-Luth. Diakonissenanstalt zu Flensburg","freigemeinnützig","Stephan","Jatzkowski","Risiko- und Qualitätsmanager","0461","812","2127","0461","812","2129","jatzkowskist@diako.de",2014
"Malteser Krankenhaus St. Franziskus-Hospital","2015-11-04","260100034","00",NA,"Waldstraße, 17, 24939, Flensburg","Waldstraße","17","24939","Flensburg","http://www.malteser-franziskus.de/","Malteser Norddeutschland gGmbH","freigemeinnützig","Klaus","Deitmaring","Geschäftsführer","0461","816","2212","0461","816","2012","Klaus.Deitmaring@malteser.org",2014
"Städtisches Krankenhaus Kiel GmbH","2015-10-28","260100089","00",NA,"Chemnitzstr., 33, 24116, Kiel","Chemnitzstr.","33","24116","Kiel",NA,"Landeshauptstadt Kiel","öffentlich","Anke","Mönnich","Projekt-, Qualitätsmanagement und Marketing","0431","1697","4080",NA,NA,NA,"anke.moennich@krankenhaus-kiel.de",2014
"Sankt Elisabeth Krankenhaus","2015-11-12","260100125","00",NA,"Königsweg, 8, 24103, Kiel","Königsweg","8","24103","Kiel","http://www.sek-kiel.de","Lubinus-Stiftung","freigemeinnützig","Otto","Melchert","Kaufmännischer Vorstand","0431","388","8121","0431","388","81290","o.melchert@lubinus-stitfung.de",2014
"Park-Klinik GmbH","2015-11-11","260100147","00",NA,"Goethestrasse, 11, 24116, Kiel","Goethestrasse","11","24116","Kiel","http://www.park-klinik.de","Park-Klinik GmbH","privat","Joachim","Bauer","Geschäftsführer","0431","5909","0","0431","5909","111","j.bauer@park-klinik.de",2014
"Lubinus Clinicum","2015-11-12","260100170","00",NA,"Steenbeker Weg, 25, 24106, Kiel","Steenbeker Weg","25","24106","Kiel","http://www.lubinus-stiftung.de","Lubinus-Stiftung","freigemeinnützig","Otto","Melchert","Kaufmännischer Vorstand","0431","388","8121","0431","388","81290","o.melchert@lubinus-stiftung.de",2014
"Klinik Flechsig Verwaltungsgesellschaft mbH","2015-11-11","260100238","00",NA,"Chemnitzstraße, 33, 24116, Kiel","Chemnitzstraße","33","24116","Kiel","http://klinik-flechsig.de/","Klinik Flechsig Verwaltungsgesellschaft mbH","privat","Katharina","Korban","Qualitätsmanagement","0431","669409","10","0431","669409","58","k.korban@klinik-flechsig.de",2014
"Kath. Marien-Krankenhaus Lübeck gemeinnützige GmbH","2015-10-16","260100272","00",NA,"Parade , 3, 23552, Lübeck","Parade ","3","23552","Lübeck","http://www.marien-krankenhaus.de","ANSGAR-Gruppe","freigemeinnützig","Andrea","Hasenjäger","Qualitätsmanagerin","0451","1407","151","0451","1407","100","hasenjaeger@marien-krankenhaus.de",2014
"DRK-Fachklinik Hahnknüll gGmbH","2015-11-14","260100318","00",NA,"Hahnknüll, 58, 24537, Neumünster","Hahnknüll","58","24537","Neumünster","http://www.drk-hahnknuell.de","DRK-Fachklinik Hahnknüll gGmbH","freigemeinnützig","Anja","Lembrecht","Koordinatorin Leiterin Qualitätsmanagement","04321","905","206",NA,NA,NA,"qualitaetsmanagement@drk-hahnknuell.de",2014
