"Name","Datum","IK_Institutionskennzeichen","Standortnummer","Standortnummer_alt","Adresse","Strasse","Hausnummer","Postleitzahl","Ort","URL_Zugang","Traegername","Traegerart","POC_Vorname","POC_Nachname","POC_Funktion_Arbeitsschwerpunkt","POC_Telefon_Vorwahl","POC_Telefon_Rufnummer","POC_Telefon_Durchwahl","POC_Fax_Vorwahl","POC_Fax_Rufnummer","POC_Fax_Durchwahl","POC_Email","year"
"Diakonissenkrankenhaus Flensburg","2016-11-08","260100023","99",NA,"Knuthstr., 1, 24939, Flensburg","Knuthstr.","1","24939","Flensburg","https://www.diako-krankenhaus.de/","Ev.-Luth. Diakonissenanstalt zu Flensburg","freigemeinnützig","Stephan","Jatzkowski","Risiko- und Qualitätsmanager","0461","812","2127","0461","812","2129","jatzkowskist@diako.de",2015
"Diakonissenkrankenhaus Flensburg","2016-11-08","260100023","99",NA,"Knuthstr., 1, 24939, Flensburg","Knuthstr.","1","24939","Flensburg","https://www.diako-krankenhaus.de/","Ev.-Luth. Diakonissenanstalt zu Flensburg","freigemeinnützig","Stephan","Jatzkowski","Risiko- und Qualitätsmanager","0461","812","2127","0461","812","2129","jatzkowskist@diako.de",2015
"Malteser Krankenhaus St. Franziskus-Hospital","2016-10-18","260100034","00",NA,"Waldstraße, 17, 24939, Flensburg","Waldstraße","17","24939","Flensburg","http://www.malteser-franziskus.de/","Malteser Norddeutschland gGmbH","freigemeinnützig","Klaus","Deitmaring","Geschäftsführer","0461","816","2212","0461","816","2012","Klaus.Deitmaring@malteser.org",2015
"Städtisches Krankenhaus Kiel GmbH","2016-10-25","260100089","00",NA,"Chemnitzstr., 33, 24116, Kiel","Chemnitzstr.","33","24116","Kiel",NA,"Landeshauptstadt Kiel","öffentlich","Marc","Schütze","Projekt-, Qualitätsmanagement und Marketing","0431","1697","4085",NA,NA,NA,"marc.schuetze@krankenhaus-kiel.de",2015
"Lubinus Clinicum (Lubinus Stiftung)","2016-11-14","260100170","99",NA,"Steenbeker Weg, 25, 24106, Kiel","Steenbeker Weg","25","24106","Kiel","http://www.lubinus-stiftung.de","Lubinus-Stiftung","freigemeinnützig","Martin","Hagen","Kaufmännische Klinikleitung","0431","388","82382","0431","388","82393","m.hagen@lubinus-stiftung.de",2015
"Park-Klinik GmbH","2016-11-14","260100147","00",NA,"Goethestrasse, 11, 24116, Kiel","Goethestrasse","11","24116","Kiel","http://www.park-klinik.de","Park-Klinik GmbH","privat","Joachim","Bauer","Geschäftsführer","0431","5909","0","0431","5909","111","j.bauer@park-klinik.de",2015
"Lubinus Clinicum (Lubinus Stiftung)","2016-11-14","260100170","99",NA,"Steenbeker Weg, 25, 24106, Kiel","Steenbeker Weg","25","24106","Kiel","http://www.lubinus-stiftung.de","Lubinus-Stiftung","freigemeinnützig","Otto","Melchert","Kaufmännischer Vorstand","0431","388","8121","0431","388","81290","o.melchert@lubinus-stiftung.de",2015
"Lubinus Clinicum (Lubinus Stiftung)","2016-12-05","260100170","99",NA,"Steenbeker Weg, 25, 24106, Kiel","Steenbeker Weg","25","24106","Kiel","http://www.lubinus-stiftung.de","Lubinus-Stiftung","freigemeinnützig","Otto","Melchert","Kaufmännischer Vorstand","0431","388","8121","0431","388","81290","o.melchert@lubinus-stiftung.de",2015
"Klinik Flechsig GmbH","2016-11-15","260100238","00",NA,"Chemnitzstraße, 33, 24116, Kiel","Chemnitzstraße","33","24116","Kiel","http://klinik-flechsig.de/","Klinik Flechsig GmbH","privat","Katharina","Korban","Qualitätsmanagement","0431","6694","0910","0431","6694","0958","k.korban@klinik-flechsig.de",2015
"Kath. Marien-Krankenhaus Lübeck gemeinnützige GmbH","2017-04-24","260100272","00",NA,"Parade , 3, 23552, Lübeck","Parade ","3","23552","Lübeck","http://www.marien-krankenhaus.de","ANSGAR-Gruppe","freigemeinnützig","Andrea","Hasenjäger","Qualitätsmanagerin","0451","1407","151","0451","1407","100","hasenjaeger@marien-krankenhaus.de",2015
"DRK-Hahnknüll gGmbH","2016-11-14","260100318","00",NA,"Hahnknüll, 58, 24537, Neumünster","Hahnknüll","58","24537","Neumünster","http://www.drk-hahnknuell.de","DRK-Fachklinik Hahnknüll gGmbH","freigemeinnützig","Anja","Lembrecht","Koordinatorin Leiterin Qualitätsmanagement","04321","905","206","04321","905","109","qualitaetsmanagement@drk-hahnknuell.de",2015
"Klinik Dr. Lehmann","2016-12-06","260100329","00",NA,"Marienstraße, 49-51, 24534, Neumünster","Marienstraße","49-51","24534","Neumünster","http://www.lehmannklinik.de","FEK-Friedrich-Ebert-Krankenhaus Neumünster GmbH","privat","Andrea","Vollert","Abteilungsleitung Stabsstelle Qualitätsmanagement","04321","405","1004","04321","405","1029","andrea.vollert@fek.de",2015
"Johanniter-Krankenhaus Geesthacht (KH)","2017-02-15","260100432","01",NA,"Am Runden Berge, 3, 21502, Geesthacht","Am Runden Berge","3","21502","Geesthacht","http://www.johanniter-krankenhaus.de","Johanniter-Krankenhaus Geesthacht GmbH","freigemeinnützig","I.","Eber","Erstellung Qualitätsbericht/Beschwerdemanagement","04152","179","0","04152","179","558","info@johanniter-Krankenhaus.de",2015
"Tagesklinik Schwarzenbek
c/o Johanniter-Krankenhaus Geesthacht GmbH","2017-02-15","260100432","02",NA,"Am Runden Berge, 3, 21502, Geesthacht","Am Runden Berge","3","21502","Geesthacht","http://www.johanniter-krankenhaus.de","Johanniter-Krankenhaus Geesthacht GmbH","freigemeinnützig","I.","Eber","Erstellung Qualitätsbericht/Beschwerdemanagement","04152","179","0","04152","179","558","info@johanniter-Krankenhaus.de",2015
"Tagesklinik Mölln
c/o Johanniter-Krankenhaus Geesthacht GmbH","2017-02-15","260100432","03",NA,"Am Runden Berge, 3, 21502, Geesthacht","Am Runden Berge","3","21502","Geesthacht","http://www.johanniter-krankenhaus.de","Johanniter-Krankenhaus Geesthacht GmbH","freigemeinnützig","I.","Eber","Erstellung Qualitätsbericht/Beschwerdemanagement","04152","179","0","04152","179","558","info@johanniter-Krankenhaus.de",2015
"Johanniter-Krankenhaus Geesthacht (KH)","2017-02-15","260100432","99",NA,"Am Runden Berge, 3, 21502, Geesthacht","Am Runden Berge","3","21502","Geesthacht","http://www.johanniter-krankenhaus.de","Johanniter-Krankenhaus Geesthacht GmbH","freigemeinnützig","I.","Eber","Erstellung Qualitätsbericht/Beschwerdemanagement","04152","179","0","04152","179","558","info@johanniter-Krankenhaus.de",2015
"DRK-Krankenhaus Mölln-Ratzeburg gGmbH","2016-11-14","260100454","00",NA,"Röpersberg, 2, 23909, Ratzeburg","Röpersberg","2","23909","Ratzeburg","http://www.drk-krankenhaus.de","DRK-Krankenhaus Mölln-Ratzeburg gGmbH","freigemeinnützig","Daniela","Fischer","Qualitätskoordinatorin","04541","884","412","04541","884","500","dfischer@drk-krankenhaus.de",2015
"Klinikum Nordfriesland gGmbH, Klinik Husum","2016-11-07","260100476","99",NA,"Erichsenweg, 16, 25813, Husum","Erichsenweg","16","25813","Husum","http://www.klinikum-nf.de","Kreis Nordfriesland","öffentlich","Julia","Neelen","Qualitätsmanagement","04841","660","1854",NA,NA,NA,"julia.neelen@klinikum-nf.de",2015
"Klinikum Nordfriesland gGmbH, Klinik Husum","2016-11-07","260100476","99",NA,"Erichsenweg, 16, 25813, Husum","Erichsenweg","16","25813","Husum","http://www.klinikum-nf.de","Kreis Nordfriesland","öffentlich","Julia","Neelen","Qualitätsmanagement","04841","660","1854",NA,NA,NA,"julia.neelen@klinikum-nf.de",2015
